,id,name,rank,color,grid,is_random,random_number,assist_damage,assist_def_break,assist_hit,assist_reload,intensity_ratio,grid_number,damage,atk_speed,hit,def,bonus_type,type,fit_squads,develop_duration
0,2011,*2星1格,2,"1,2",1,1,"1,1",85,51,35,22,28,1,0,0,0,0,,1,,28800
1,2021,*2星2格,2,"1,2",2,1,"1,2",85,51,35,22,28,2,0,0,0,0,,1,,28800
2,2031,*2星3格,2,"1,2","3,4",1,"1,3",72,43,35,24,32,3,0,0,0,0,,1,,28800
3,2041,*2星4格,2,"1,2","5,6,7,8,9,10,11",1,"1,3",65,39,35,27,32,4,0,0,0,0,,1,,28800
4,2051,*2星5格,2,"1,2","12,13,14,15,16,17,18,19,20",1,"2,3",65,39,35,27,36,5,0,0,0,0,,1,,28800
5,2052,*2星5格,2,"1,2","21,22,23,24,25,26,27,28,29",1,"2,3",65,39,35,32,40,5,0,0,0,0,,1,,28800
6,2061,*2星6格,2,"1,2","30,31,32,33,34,35,36,37,38,39",1,"2,4",65,39,35,32,40,6,0,0,0,0,,1,,28800
7,3011,*3星1格,3,"1,2",1,1,"1,1",85,51,35,22,44,1,0,0,0,0,,1,,28800
8,3021,*3星2格,3,"1,2",2,1,"1,2",85,51,35,22,44,2,0,0,0,0,,1,,28800
9,3031,*3星3格,3,"1,2","3,4",1,"1,3",72,43,35,24,48,3,0,0,0,0,,1,,28800
10,3041,*3星4格,3,"1,2","5,6,7,8,9,10,11",1,"1,3",65,39,35,27,48,4,0,0,0,0,,1,,28800
11,3051,*3星5格,3,"1,2","12,13,14,15,16,17,18,19,20",1,"2,3",65,39,35,27,56,5,0,0,0,0,,1,,28800
12,3052,*3星5格,3,"1,2","21,22,23,24,25,26,27,28,29",1,"2,3",65,39,35,32,60,5,0,0,0,0,,1,,28800
13,3061,*3星6格,3,"1,2","30,31,32,33,34,35,36,37,38,39",1,"2,4",65,39,35,32,60,6,0,0,0,0,,1,,28800
14,4011,*4星1格,4,"1,2",1,1,"1,1",85,51,35,22,56,1,0,0,0,0,,1,,28800
15,4021,*4星2格,4,"1,2",2,1,"1,2",85,51,35,22,56,2,0,0,0,0,,1,,28800
16,4031,*4星3格,4,"1,2","3,4",1,"1,3",72,43,35,24,60,3,0,0,0,0,,1,,28800
17,4041,*4星4格,4,"1,2","5,6,7,8,9,10,11",1,"1,3",65,39,35,27,64,4,0,0,0,0,,1,,28800
18,4051,*4星5格,4,"1,2","12,13,14,15,16,17,18,19,20",1,"2,3",65,39,35,27,72,5,0,0,0,0,,1,,28800
19,4052,*4星5格,4,"1,2","21,22,23,24,25,26,27,28,29",1,"2,3",65,39,35,32,80,5,0,0,0,0,,1,,28800
20,4061,*4星6格,4,"1,2","30,31,32,33,34,35,36,37,38,39",1,"2,4",65,39,35,32,80,6,0,0,0,0,,1,,28800
21,5011,*5星1格,5,"1,2",1,1,"1,1",85,51,35,22,72,1,0,0,0,0,,1,,28800
22,5021,*5星2格,5,"1,2",2,1,"1,2",85,51,35,22,72,2,0,0,0,0,,1,,28800
23,5031,*5星3格,5,"1,2","3,4",1,"1,3",72,43,35,24,76,3,0,0,0,0,,1,,28800
24,5041,*5星4格,5,"1,2","5,6,7,8,9,10,11",1,"1,3",65,39,35,27,80,4,0,0,0,0,,1,,28800
25,5051,*5星5格,5,"1,2","12,13,14,15,16,17,18,19,20",1,"2,3",65,39,35,27,92,5,0,0,0,0,,1,,28800
26,5052,*5星5格,5,"1,2","21,22,23,24,25,26,27,28,29",1,"2,3",65,39,35,32,100,5,0,0,0,0,,1,,28800
27,5061,*5星6格,5,"1,2","30,31,32,33,34,35,36,37,38,39",1,"2,4",65,39,35,32,100,6,0,0,0,0,,1,,28800
