,mission_id,boss_hp_bars,user_exp,mp,ammo,mre,part,core,gem,gun_id,item_ids,equip_ids,furniture,gift,coins,prize_id
0,10001,1,0,0,0,0,0,0,0,0,,,,,,6001
1,10002,6,0,0,0,0,0,0,0,0,,,,,,6002
2,10003,10,0,0,0,0,0,0,0,0,,,,,,6003
3,10004,15,0,0,0,0,0,0,0,0,,,,,,6004
4,10005,1,0,0,0,0,0,0,0,0,,,,,,6505
5,10006,1,0,0,0,0,0,0,0,0,,,,,,6506
6,10007,1,0,0,0,0,0,0,0,0,,,,,,6507
7,10008,3,0,0,0,0,0,0,0,0,,,,,,6508
8,10009,1,0,0,0,0,0,0,0,0,,,,,,6509
9,10010,1,0,0,0,0,0,0,0,0,,,,,,6510
10,10011,1,0,0,0,0,0,0,0,0,,,,,,6511
11,10012,6,0,0,0,0,0,0,0,0,,,,,,6512
12,10013,1,0,0,0,0,0,0,0,0,,,,,,6513
13,10014,1,0,0,0,0,0,0,0,0,,,,,,6514
14,10015,1,0,0,0,0,0,0,0,0,,,,,,6515
15,10016,10,0,0,0,0,0,0,0,0,,,,,,6516
16,10017,1,0,0,0,0,0,0,0,0,,,,,,0
17,10018,1,0,0,0,0,0,0,0,0,,,,,,6518
18,10019,4,0,0,0,0,0,0,0,0,,,,,,6519
19,10020,6,0,0,0,0,0,0,0,0,,,,,,6520
20,10021,10,0,0,0,0,0,0,0,0,,,,,,6521
21,10022,3,0,0,0,0,0,0,0,0,,,,,,6522
22,10023,5,0,0,0,0,0,0,0,0,,,,,,6523
23,10024,8,0,0,0,0,0,0,0,0,,,,,,6524
24,10025,12,0,0,0,0,0,0,0,0,,,,,,6525
25,10026,4,0,0,0,0,0,0,0,0,,,,,,6026
26,10027,1,0,0,0,0,0,0,0,0,,,,,,6027
27,10028,1,0,0,0,0,0,0,0,0,,,,,,6028
28,10029,6,0,0,0,0,0,0,0,0,,,,,,6029
29,10030,1,0,0,0,0,0,0,0,0,,,,,,6530
