,id,type,platform,title,content,description
0,1,0,23,详情,,"type0表示人形详细介面,platform23表示微信"
1,2,1,23,扭蛋,,type1表示扭蛋结果页面
2,3,2,23,狗牌,,type2表示玩家详情（狗牌）界面
3,4,3,23,新角色,,type3表示新枪，装备获得界面
4,5,4,23,宿舍,,type4表示宿舍界面
5,6,0,1,人形,#少女前线#,type0表示人形详细介面，platform1表示微博
6,7,1,1,扭蛋,#少女前线#,type1表示扭蛋结果页面
7,8,2,1,狗牌,#少女前线#,type2表示玩家详情（狗牌）界面
8,9,3,1,新角色,#少女前线#,type3表示新枪，装备获得界面
9,10,4,1,宿舍,#少女前线#,type4表示宿舍界面
10,11,6,23,装扮,,type6表示采购新装扮展示页面
11,12,6,1,装扮,#少女前线#,type6表示采购新装扮展示页面
12,13,7,23,勋章,,type7表示勋章展示页面
13,14,7,1,勋章,#少女前线#,type7表示勋章展示页面
